Element,Index,FYM,SAM,SAF,FAF,Reference
E_Carpal_units,TF_,7.5,4.7,4.8,5.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_carpals,TF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metacarpal,TF_,1.4,5.2,5.8,7.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Innominate,TF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Femur,TF_,61.2,82.7,72.2,81.3,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tibia,TF_,39.3,43.9,37,42.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tarsal_units,TF_,11.1,9.7,8.1,9.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_tarsals,TF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metatarsal,TF_,14.5,9.6,8.4,10.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_phalanges,TF_,4.55,2.1,2.25,3.15,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_metapodial,TF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_OlsChub_CarpTars,TF_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cranium,TP_,14.1,13.8,13.7,15.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Atlas,TP_,6.3,7.1,5,7.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Axis,TP_,7.6,8.7,6.2,8.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.3.7._vert,TP_,55.1,63.2,44.2,63.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Cervical_.1.7._vert,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Thoracic_vert,TP_,93.4,74.9,86.8,83.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Lumbar_vert,TP_,90.7,67,83.2,90.7,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Caudal_vert,TP_,1.1,0.8,1.8,2.1,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_vert,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Sacrum,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Pelvis,TP_,62.6,49.4,56.2,50.5,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Rib,TP_,100,100,100,100,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Scapula,TP_,40.4,33.1,21.7,31.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Humerus,TP_,71.2,58.7,42.2,54.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Radius_ulna,TP_,37.7,27.5,23.3,25.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Carpal_units,TP_,9.1,6,5.4,6.2,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_carpals,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metacarpal,TP_,9.2,5.3,5.5,6.8,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Innominate,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Femur,TP_,169.4,128.9,125.4,132.5,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tibia,TP_,81.6,61.2,58.2,64.4,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Tarsal_units,TP_,17.2,12.2,11.6,13.4,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Undifferentiated_tarsals,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Metatarsal,TP_,16.1,10.2,10,11.9,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_phalanges,TP_,3.35,1.65,1.95,2.6,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_Unspecified_metapodial,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
E_OlsChub_CarpTars,TP_,NA,NA,NA,NA,"Emerson AM (1990) Archaeological Implications of Variability in the Economic Anatomy of Bison bison. Unpublished PhD dissertation, Washington State University, Pullman"
